system,n,WER,valid,valid_pct
ar_beam,50,0.3333333333333333,50,100.0
ctc_greedy,50,0.29545454545454547,30,60.0
ctc_lexicon,50,0.23484848484848486,50,100.0
ctc_grammar,50,0.23484848484848486,50,100.0
ctc_grammar_ar,50,0.26515151515151514,50,100.0
