system,n,WER,CER,EM%,WER_lo,WER_hi
llama32_1b,50,0.23484848484848486,0.08969465648854962,46.0,0.1678832116788321,0.3046875
llama32_3b,50,0.3484848484848485,0.15839694656488548,24.0,0.28125,0.4166666666666667
mistral7b_v03,50,0.29545454545454547,0.10114503816793893,32.0,0.23134328358208955,0.36363636363636365
qwen25_3b_instruct,50,0.3787878787878788,0.15458015267175573,24.0,0.30597014925373134,0.45454545454545453
