system,n,WER,CER,EM%
lambda_0.25,50,0.2932330827067669,0.10975609756097561,34.0
lambda_0.5,50,0.24812030075187969,0.09407665505226481,44.0
lambda_0.75,50,0.23308270676691728,0.08885017421602788,46.0
lambda_0,50,0.3308270676691729,0.1289198606271777,26.0
lambda_1.5,50,0.22556390977443608,0.08885017421602788,48.0
lambda_1,50,0.23308270676691728,0.08885017421602788,46.0
lambda_2.5,50,0.21052631578947367,0.08362369337979095,52.0
lambda_2,50,0.21052631578947367,0.08362369337979095,52.0
lambda_3,50,0.21804511278195488,0.08536585365853659,50.0
