system,n,WER,CER,EM%,WER_lo,WER_hi
ns_full,50,0.3333333333333333,0.13358778625954199,34.0,0.256,0.4122137404580153
wo_5gram,50,0.3333333333333333,0.13358778625954199,34.0,0.256,0.4122137404580153
wo_boundary,50,0.3333333333333333,0.13358778625954199,34.0,0.256,0.4122137404580153
wo_eos,50,0.3333333333333333,0.13358778625954199,34.0,0.256,0.4122137404580153
wo_trie,50,0.3333333333333333,0.13358778625954199,34.0,0.256,0.4122137404580153
