system,n,WER,CER,EM%
ar_ctc,50,0.2878787878787879,0.11450381679389313,38.0
ar_only,50,0.5833333333333334,0.40076335877862596,12.0
ctc_only,50,0.3712121212121212,0.16603053435114504,26.0
