system,n,WER,CER,EM%
lamar_0.0,50,0.22556390977443608,0.08188153310104529,48.0
lamar_0.25,50,0.21052631578947367,0.08188153310104529,52.0
lamar_0.5,50,0.19548872180451127,0.078397212543554,54.0
lamar_1.0,50,0.23308270676691728,0.08710801393728224,44.0
lamar_2.0,50,0.24812030075187969,0.09059233449477352,42.0
lamar_4.0,50,0.2706766917293233,0.09581881533101046,36.0
lamar_8.0,50,0.2781954887218045,0.10104529616724739,34.0
